ko,en,ko_len,en_len
"상트 페테르부르크는 또한 비극도 견뎌냈다.
","It has also endured misery.
",24,28
"그들은 또한 훌륭한 인터넷 시민이 되어야 한다.
","They should also be good Internet citizens.
",27,44
"이번 에는 내부로부터 위협을 받고 있는 것이다.
","This time from the inside.
",27,27
"그러나 불과 12킬로미터 정도만이 복구되었다.
","But only a dozen or so kilometers have been restored.
",26,54
"그러나 자금과 보존 기술이 빈약하다.
","But funds and preservation know-how are stretched thin.
",21,56
"왜 나한테 거짓말을 한 거야?’
","Why did you lie to me
",18,22
"나는 갈수록 점점 더 화가 났다.
","I was furious and getting more so by the second.
",19,49
"해외 판권은 이미 16개국에서 팔렸다.
","Foreign rights have already been sold in 16 countries.
",22,55
"책의 정가는 28달러다.
","List price for the book is $28.
",14,32
"나는 독서를 하고 해변도 걸었다.
","I walked on the beach.
",19,23
"남편은 아랫층에서, 나는 윗층에서 잤다.’
","He slept downstairs.
",24,21
"시간이 지나며 우리 둘은 풀리기 시작했다.’
","Over time we both began to relax.''
",25,36
"힐러리여사는 2008년 출마를 배제하지 않고 있다.
","ex) She was adamant that she would not come.
",29,45
"(그의 지지도는 높다.
","ex) His stock is high.
",13,23
"이것은 국제 GSM 이동 전화 표준에 기반하고 있다.
","This is based on the international GSM mobile standard.
",30,56
"현재 일본과 북한은 공식적인 외교관계 가 없다.
","Japan and North Korea have no formal diplomatic relations.
",27,59
"세관원들도 승객들의 검색을 강화할 계획이었다.
","Customs officials were also planning to tighten their inspections of passengers.
",26,81
"4월 10일 중단됐던 운항은 6월 16일 재개된다.
","Shipping has been banned near the dam since April 10 but is to resume June 16.
",29,79
"외딴 곳
","The area is sparsely populated.
",5,32
"밖에 할 수 없다
","The regimen is called either ``hapsuk'' or ``kisuk.''
",10,54
"한국사람들에게 단체 활동은 자연스러운 것이 돼있다.
","For South Koreans, group activity comes naturally.
",29,51
"점호와 운동 후 수업은 8시에 시작된다.
","After a roll call and exercise, classes begin at 8 a.m.
",23,56
"학원측은 3주마다 2박3일의 외박을 허용한다.
","Hansamm allows students a two-night leave every three weeks.
",26,61
"이 학생들은 자기 나름의 기분전환 거리를 찾고 있다.
","The boys seek their own diversion.
",30,35
"1990년대에는 기근이 엄습해 수 십만명이 죽었다.
","In the 1990s, famine struck, killing hundreds of thousands.
",29,60
"긍정적인 징표들도 있다.
","There are positive signs.
",14,26
"북한의 자본주의 기록은 매우 오래전부터다.
","North Korea's record with capitalism is abysmal.
",24,49
"""거품""이란 전자상거래의 현상이 아니었다.
","The ""bubble"" was not an e-commerce phenomenon.
",24,47
"그것은 주식시장의 현상이었던 것이다.
","It was a Wall Street phenomenon.
",21,33
"이것은 부분적으로 기업의 진화일 뿐이다.
","Part of it is just business evolution.
",23,39
"새로운 사업 계획이 대개는 더 좋은 계획이 된다.
","The new plans are largely better plans.
",28,40
"전자상거래가 성년을 맞이했는지도 모른다.
","E-commerce may have come of age, but it's a long way from adulthood.
",23,69
"하지만 성인이 되려면 아직 멀었다.
","It's left the idealistic childhood.
",20,36
"위반자는 최고 5년의 징역형을 받게 된다.
","Violators could face up to five years in prison.
",24,49
"그는 애틀란타 시 카지노의 극장 지배인이다.
","He's the theater manager at an Atlantic City casino.
",25,53
"내 생각에 킹 목사는 시대에 뒤떨어진 인물이었다.
","In my mind, King was ""lame.""
",28,29
"킹 목사를 포함해 수백명이 체포되곤 했다.
","Hundreds would be arrested, including King.
",24,44
"그는 베트남 전쟁에 반대의 목소리를 냈다.
","He spoke against the Vietnam War.
",24,34
"3월’’ ''안경:
","March,'' and ``Eyeglasses:
",11,27
"다카하시 데쯔로씨가 그들 중 한 사람이다.
","Tetsuro Takahashi was one of them.
",24,35
"이것은 미국의 이야기 입니다.
","It is the American story
",17,25
"그리고 나는 이렇게 엄숙히 서약합니다:
","And this is my solemn pledge:
",22,30
"모든 국민들은 이 원칙들을 떠받들어야 합니다.
","Every citizen must uphold them.
",26,32
"우리는 공동의 욕구에따라 살아가야 합니다.
","We must live up to the calling we share.
",24,41
"전성기에 있는 미국은 또한 용기가 있습니다.
","America, at its best, is also courageous.
",25,42
"우리는 우리 동맹국들과 우리의 이익을 지킬 것입니다.
","We will defend our allies and our interests.
",30,45
"우리는 오만하지 않고 결의를 보여줄 것입니다.
","We will show purpose without arrogance.
",26,40
"원총리는 가두행진이 있기 전 홍콩을 떠났다.
","Wen left Hong Kong before the march.
",25,37
"소수만이 이 법을 지지하는 목소리를 냈다.
","Smaller numbers of people voiced support for the law.
",24,54
"(병으로 인해 그녀의 스포츠 활동이 줄어들었다.)
","ex) Illness has curtailed her sporting activities.
",28,51
"그리고 이 분야는 빠르게 발전하고 있다.
","And the field is advancing rapidly.
",23,36
"(물에 적시면 라벨은 쉽게 벗겨질 것이다)
","``Let's revamp our lives with our own strength!''
",24,50
"’라는 노래가 울려퍼졌다.
","A sound system blared a high-pitched song:
",15,43
"한 점원이 병목을 잡아 들어 올리자 뚜껑이 빠졌다.
","When a clerk lifted a bottle by its neck, the cap came loose.
",29,62
"개성은 고려의 수도이자 상업의 중심지였다.
","Kaesong was once Korea's capital and commercial hub.
",24,53
"개성 상인들은 부기를 한 최초의 한국인이었다.
","Its traders were the first Koreans to practice bookkeeping.
",26,60
"종전 무렵 새 국경선이 그어질 때 북한 땅이 되었다.
","When a new border was drawn at the end of the war, it became part of North Korea.
",30,82
"푹 꺼진 지붕들은 플라스틱 판으로 기워져 있었다.
","Sunken roofs were patched with plastic sheets.
",28,47
"전성기에 있는 미국은 동정심이 많습니다.
","America, at its best, is compassionate.
",23,40
"고통이 있는 곳에는 의무가 있게 마련입니다.
","Where there is suffering, there is duty.
",25,41
"우리나라의 많은이들은 가난의 고통을 알지 못합니다.
","Many in our country do not know the pain of poverty, but we can listen to those who do.
",29,88
"손쉬운 비난에 대항해 필요한 개혁을 옹호해 줄 것을;
","to defend needed reforms against easy attacks;
",30,47
"방관자가 아니라 시민이;
","I ask you to be citizens:
",14,26
"피통치자가 아니라 시민이;
","citizens, not spectators;
",15,26
"세월과 변화들이 축적되었습니다.
","The years and changes' accumulated.
",18,36
"하지만 오늘의 주제를 그는 알것입니다:
","But the themes of this day he would know:
",22,42
"이 일은 계속됩니다.
","This work continues.
",12,21
"하나로는 하반기 4,500억원의 부채를 상환해야한다.
","Hanaro needs to repay a 450 billion won debt in the second half.
",30,65
"""우리는 우리가 시작했던 방법을 계속할 겁니다.
","""We will continue the way we have started.
",27,43
"우리는 좌절하지 않을 겁니다.""
","We will not be discouraged.""
",18,29
"양국은 상호 3위의 교역상대국이다.
","The two are each other's third biggest trade partners, and North Korea has invested about $15 billion in China, much of it near their border.
",20,142
"지난 달에는 나탈리 자신도 나쁜 소식을 들었다.
","Last month, Natalie got the bad news herself.
",27,46
"감정의 롤러코스터를 타고 끝나 버리는거죠.""
","You end up on an emotional roller coaster.""
",25,44
"""그들은 큰 소리로 떠들 필요가 있습니다.
","""They need to cry a lot.
",24,25
"""그것은 질병이 아닙니다.
","""It's not a disease.
",15,21
"여러분은 그것을 겪어 낼 것입니다.""
","You will get through it.""
",21,26
"중단 결정은 출판계를 전율케했다.
","The decision sent a shudder through the publishing industry, which had come to rely on the selections that would guarantee a minimum 500,000-copy increase in sales for any chosen title
",19,185
"(경찰은 그에게 속도위반 딱지를 띠었다.)
","ex) Police slapped him with a speeding ticket.
",24,47
"( 그는 그녀를 소송을 걸어 혼내주었다.)
","ex) He slapped her with a lawsuit.
",24,35
"세계 다른 나라들의 눈에 일본은 어떻게 보이는가?
","How is Japan seen in the eyes of the rest of the world?
",28,56
"하지만 그것은 잘나가던 1980년대의 일이었다.
","That was in the go-go 1980s, though.
",27,37
"""오늘날은 그렇지 않습니다.""
","""That's not true today.""
",17,25
"일본의 인식은 근본 적 으로 변화되었다.
","Perceptions of Japan have changed just as fundamentally.
",23,57
"일본이 쇠퇴하고 있다는 것이 새로운 다수의 의견이다.
","The new consensus is that Japan is in decline.
",30,47
"발끈 화냄 (=outburt of temper;
","15 anniversary of the 1945 end of World War II.
",27,48
"화나게 하다 (=stir to anger;
","try to make sth appear less important than it is)
",24,50
"(그 사건들은 전쟁 발발로 발전했다.)
","ex) The events led up to the outbreak of war.
",22,46
"그러나 고국에서 김대중에 대한 사랑은 거의 없다.
","But there is little love for Kim Dae Jung in his homeland.
",28,59
"더욱 나쁜 것은, 김 대통령의 정직이라는 명성이
","Worse, Kim's reputation for integrity
",27,38
"""그는 정말로 국민들을 실망시켰습니다.
","""He really disappointed the country.
",22,37
"그녀는 류라고 성만 밝혔다.
","She would only give her family name, Liu.
",16,42
"관영 신화 통신도 양빈의 유죄판결을 보도했다.
","The official Xinhua News Agency also reported Yang's conviction.
",26,65
"양빈의 임직원들은 모든 통신이 차단됐었다고 말했다.
","His employees said all communication had been cut off.
",29,55
"양빈의 변호사 티안 웬창씨는 이미 항소했다고 밝혔다.
","His lawyer, Tian Wenchang, said he already had appealed.
",30,57
"한국 전쟁은 숨가쁜 반전의 하나였다.
","The war was one of stunning reversals.
",21,39
"서울의 주인이 네 차례나 바뀌며 거의 파괴되었다.
","Seoul changed hands four times and was almost destroyed.
",28,57
"""고 Greenspan이 준비된 의견서에서 밝혔다.
","""Despite the disruptions engendered by the terrorist attacks of Sept.
",29,70
"어떻게 지속적인 동기부여를 받느냐?
","How do you keep going when you're not doing very well?""
",20,56
"편지는 의사소통 이상의 일을 한다.
","Letters do more than communicate.
",20,34
"백악관의 갑작스런 전자메일 고장에 대한 수사
","Investigation over White House e-mail glitch
",25,45
"전기 의자를 없애기 위하여
","To phase out electric chair
",15,28
"나는 크게 실망했다.
","I was greatly disappointed.
",12,28
"일주일만에, 그 생선 덩어리는 16%나 커졌다.
","the fish nuggets had become 16 percent bigger.
",27,47
"이것이 내가 여러분에게 주고자 하는 것입니다.
","This is what I will give you.
",26,30
"이스라엘 방위군은 즉각적인 논평을 하지 않았다.
","The Israel Defense Forces had no immediate comment.
",27,52
"경기 회복의 징후가 보이는 일본
","Japan shows signs of recovery, Japan faces a rough road ahead.
",18,63
"미국인들은 장기 기증에 대해 잘 알고 있다.
","Americans are well aware of organ donation.
",25,44
"그 이유는 간단하다.
","The reason is simple.
",12,22
"그들 모두가 장기 기증 카드를 작성해야 한다.
","Every one of them should fill out a donor card.
",26,48
"2001년에 불황이 미국과 일본을 덮쳤다.
","recessions hit the United States and Japan.
",24,44
"모든 사람이 그 나름대로의 이유를 갖고는 있다.
","Everyone has their reasons why.
",27,32
"이런 해결 사례 중 36건은 미국에서 있은 것이다.
","are in the United States.
",29,26
"그 비율은 매년 증가하고 있는데
","a percentage that increases every year
",18,39
"""돌아온 제다이""(1983)는 더욱 유쾌하게 끝났다.
","""Return of the Jedi"" (1983) ended even more cheerily.
",30,54
"""제국의 반격""과 새 영화 ""스타워즈:
","""The Empire Strikes Back"" and the new film, ""Star Wars:
",22,56
"그녀는 미국인들도 그와 똑같이 해야 한다고 말했다.
","She said Americans should do the same.
",29,39
"그 군부대의 사령관은 그 생각에 동의했다.
","The commander of the soldiers’ organization agreed.
",24,52
"뉴욕은 현충일을 공휴일로 정한 최초의 주(州)였다.
","It was the first state to make it a holiday.
",29,45
"의회는 1888년에 현충일을 국가 공휴일로 정했다.
","Congress made it a national holiday in 1888.
",29,45
"오늘날, 미국인들은 현충일을 다른 방식으로 기념한다.
","Today, Americans celebrate the Memorial Day holiday in different ways.
",30,71
"마을과 도시에서는 현충일 주말에 퍼레이드를 한다.
","Towns and cities hold parades over Memorial Day weekend.
",28,57
"사람들은 가족들과 함께 따뜻한 날씨를 즐긴다.
","People enjoy the warm weather with their families.
",26,51
"이 기념식은 국가 무명 용사들의 묘소에서 열린다.
","The ceremonies are held at the burial place of the nation’s unknown soldiers.
",28,78
"이들 대부분은 처음으로 일자리를 구하는 사람들이었다.
","Most of these people were seeking jobs for the first time.
",30,59
"이들은 하루에 미화 1달러도 못되는 돈을 번다.
","They earn less than one American dollar a day.
",27,47
"이것은 ""불완전 고용""이라 불리는 것이다.
","This is called “underemployment.”
",24,34
"그는 기술이 중요하다고 말한다.
","He says technology is important.
",18,33
"하지만 또한 우려가 되는 바도 있다.
","But there are also concerns.
",21,29
"""누가 인터넷 접속을 끊었는가?""
","""Who unplugged the Internet?""
",19,30
"식량 부족으로 고통받는 북한 주민들
","Weak demand at home for imports and a surge in shipments of Japanese cars, flat screen TVs and other key exports to Asia It jumped 715 percent from a year ago The customs-cleared trade surplus grew for a third straight month A severe shortage of food aid is forcing hungry North Koreans to scrounge for grass and seaweed, the United Nations says.
",20,347
"이 환자들은 모두 뉴욕과 뉴져지에서 발생했다.
","All of the victims were in New York and New Jersey.
",26,52
"각각의 카운티에서는 모기를 채집해 분석하고 있다.
","Individual counties are trapping mosquitoes and analyzing them.
",28,64
"남북간 해상 교전으로 남한 경비정 침몰
","A South Korean patrol boat was sunk that left at least four South Korean sailors dead and 18 others injured, officials in Seoul say.
",22,133
"약 50명의 어린이들을 포함하여
","including about 50 children
",18,28
"5가지 발생 가능한 경우가 있다고 한 의사가 말했다.
","One said there are five possible scenarios:
",30,44
"공룡들은 필연적으로 굶어 죽게 되었다.
","The dinosaurs essentially starved to death.
",22,44
"혜성일 가능성이 훨씬 더 크다고 베일리는 말했다.
","that smashed into the Earth 65 million years ago.
",28,50
"新 나치주의자의 시락 대통령 암살 기도
","In a long-delayed annual report to Congress, the Defense Department said that Taiwan's permanent separation from the mainland could serve as a strategic foothold for the UnitedStates   .
",22,187
"accounting 기업 회계
","amid a stubbornly bearish market ruled by fears about corporate accounting.
",17,76
"그린피스의 봉쇄선을 빠져나간 핵연료 운반선
","have slipped through a Greenpeace flotilla of protest craft under the cover of darkness.
",24,89
"""이제 이 냉동인간에 대한 연구는 다시 시작됩니다.""
","""Now research on the Iceman starts over.""
",30,42
"이야기가 다시 쓰여져야 할 필요가 있습니다.""
","The story needs to be rewritten.""
",26,34
"그 개발 뒷이야기와 함께
","and the story behind its development
",14,37
"Intel은 성공한 많은 회사들 중의 하나였다.
","Intel was one of the many companies that flourished.
",27,53
"""우리는 작업 일정을 정말로 중요시했습니다.
","""We put a real premium on schedule.
",25,36
"테라바이트 저장 장치:
","TERABYTES OF STORAGE:
",13,22
"컴퓨터 내부의 64비트 CPU:
","64-BIT CPU UNDER THE HOOD:
",18,27
"美 2위 항공사 유나이티드 파산 위기
","United Airlines parent UAL Corp.
",21,33
"하지만 지난 가을 에 그 흑색종이 다시 나타났다.
","But last fall the melanoma was back.
",28,37
"15,000명의 직원을 J축하기로 한 Fujitsu
","Giant Japanese chipmaker Fujitsu Ltd.
",29,38
"인터넷을 통한 미성년 성범죄가 급증하는 일본
","The popularity of Internet-enabled mobile phones has spurred a huge rise in sex crimes the National Police Agency said.
",25,120
"여러분은 사고를 당할 가능성이 더 많은 것입니다.""
","You're more likely to have an accident.""
",29,41
"거대 은행인 미즈호 지주회사는 7% 하락했다.
","Big bank Mizuho Holdings is off more than 7 percent.
",26,53
"그들은 책도 팔게 될 것이다.
","They will also be selling books.
",17,33
"스타벅스는 매장 100곳의 폐쇄를 검토한 바 있다.
","The total includes 100 previously announced store closures.
",29,60
"또한 졸리의 출산이 임박하지는 않았다고 덧붙였다.
","""She is not on the verge of giving birth, not at all,"" she said.
",28,65
"그러나 정확한 입원일은 언급하지 않았다.
","She said Jolie was admitted recently but would not say exactly when.
",23,69
"그는 또 사무실 출입문에 불을 질렀다.
","He also set fire to the building's main gate.
",22,46
"그는 현장에서 체포됐다.
","He was arrested at the scene.
",14,30
"매들린 실종사건은 전세계 신문의 헤드라인을 장식했다.
","Her disappearance drew headlines around the world.
",30,51
"이날만 120명의 사람들이 응급치료를 받았다.
","In all, emergency services treated 120 people.
",26,47
"성에 따른 복수형이 없는 언어가 있기 때문이다.
","While not knowing someone's gender poses grammatical challenges in English, it has created even larger headaches as Facebook expands to other languages, where a gender-neutral option isn't available in plural form.
",27,215
"그러나 그 효과는 몇 달을 가지 못했다.
","But the effect wore off after a few months.
",23,44
"다행히 운전자는 다치지 않았다.
","The driver of the truck was not hurt.
",18,38
"앞서 공군은 당시 비행이 없었다고 밝힌 바 있다.
","Earlier, the Air Force had told CNN that it did not have flights in the air at the time.
",28,89
"할리우드의 가장 건실한 영화 제작사가 홈런을 쳤다.
","(CNN) The most consistent production unit in Hollywood just hit another home run.
",29,82
"700년이 지났고 월E만이 작동하고 있었다.
","It's been 700 years, and Wall-E is still at work.
",25,50
"이브는 모선(母船)에서 보낸 반짝이는 탐색 로봇이다.
","His systems are scrambled when he bumps into Eve, a gleaming research pod from the mother ship.
",30,96
"어쨌든 이브는 월E의 눈에는 동료라고 생각된다.
","At any rate, Eve is the apple of Wall-E's eye.
",27,47
"영화 ‘월E’는 완벽한 영화는 아니다.
","""Wall-E"" isn't a perfect movie;
",22,32
"전 총리는 이후 터키 대사관으로 피신했다.
","Anwar, 60, dismissed the accusation as ""a complete fabrication.
",24,64
"그는 뉴욕 금융지구에 살고 있었다.
","Ruslana Korshunova, 20, was a native of Kazakhstan who was living in New York¡¯s financial district.
",20,101
"아직까지 돌고래의 죽음에 대한 우려가 계속되고 있다.
","The dolphin is a Risso¡¯s dolphin, a deep-water species rarely seen so far inshore, the British Divers Marine Life Rescue said.
",30,128
"그는 다가오던 롤러코스터에 치어 죽었다.
","He was struck by the coaster and killed, she said.
",23,51
"다행히 탑승객들의 부상은 없었다.
","No one on the ride was injured, she said.
",19,42
"1.
","1. ""I hated my last boss.
",3,26
"당신은 상사에 대해 좋은 말을 하기 힘들 것이다.
","Of course you don't have a lot of nice things to say;
",28,54
"2.
","2. ""I don't know anything about the company.
",3,45
"3.
","3. ""No, I don't have any questions for you.""
",3,45
"4.
","4. ""I'm going to need to take these days off.""
",3,47
"고용인도 이 같은 사실을 잘 알고 있을 것이다.
","If you progress to an offer stage, this is the time for a discussion regarding personal obligations,"" Moran suggests.
",27,118
"5. “언제쯤 승진을 할 수 있을까요?”
","5. ""How long until I get a promotion?""
",23,39
"6. “교회에 열심히 나가는가요?”
","6. ""Are you an active member in your church?""
",20,46
"모아이는 이미 자연풍화를 겪고 있다.
","Moais (pronounced Moe-Eyes) already face a host of natural enemies.
",21,68
"한편 그의 삼촌은 사건 후 종적을 감췄다.
","The uncle has subsequently gone missing, the ministry said.
",24,60
"단 예외는 있다.
","Among the exceptions would be trademarked domains, such as .cnn or
",10,67
"나머지 181명은 증거 부족으로 풀려났다.
","The remaining 181 were released for lack of evidence.
",24,54
"미국에서는 지난해 1630만대의 차량이 팔렸다.
","It was the lowest level for June in decades and a huge drop from the year-earlier rate of 16.3 million vehicles.
",27,113
"총소리에 경호진은 즉시 비상 경계 태세에 돌입했다.
","The sound of the gunshot sparked an immediate security alert.
",29,62
"그는 “선거날짜는 이미 정해졌다”고 덧붙였다.
","But as far as we're concerned, the date is set.
",26,48
"향년 71세였다.
","He was 71.
",10,11
"그는 지난 주 쓰러져 병원에 입원했었다.
","She was taken to a hospital last week after fainting at home.
",23,62
"올해 64세인 남자는 결국 음주운전으로 기소됐다.
","The officers breath-tested the 64-year-old man, who registered a blood alcohol reading of 0.301 more than six times the legal driving limit and charged him with operating a vehicle while drunk.
",28,194
"이번 사건과 관련된 2명이 이미 유죄판결을 받았다.
","Two people have already been convicted in the case.
",29,52
"북한은 영변의 주 원자로 시설을 분해했다.
","North Korea has been taking Yongbyon's main reactor apart, but
",24,63
"부상자수는 지난주 초 12명 증가했다.
","The number of injured from the quake was also barely changed, but 12 more than a week earlier.
",22,95
"미국산 쇠고기 수입은 이달 재개될 예정이다.
","U.S. beef imports are expected to resume this month.
",25,53
"고온의 여파로 산불이 확산됐다.
","The blazes were part of the fall-out from triple-digit temperatures.
",18,69
"여름 에 이곳은 색다른 풍경을 제공한다.
","In the summertime, the beach offers a different view:
",23,54
"새로운 3G 아이폰은 오는 7월 11일부터 판매된다.
","The new iPhone will go on sale July 11.
",30,40
"이와 관련 라우텐바허는 콜레라를 예로 들었다.
","Take a disease like cholera, Lautenbacher said.
",26,48
"위성은 온도를 측정할 수 있는 훌륭한 장비다.
","Satellites can measure that temperature.
",26,41
"그의 가족은 루이지애나 켄트우드에 살고 있다.
","Her family owns a home across the state line in Kentwood, Louisiana.
",26,69
"음식의 중요한 건 이름이 아니라 내용물이다.
","BEIJING, China (CNN) What's in a name?
",25,39
"이는 지난 2005년 사실상 중단됐다.
","They had been suspended in 2005.
",22,33
"이곳에서는 하루 20만 배럴의 석유가 생산되고 있다.
","offshore and produces around 200,000 barrels of crude oil a day.
",30,65
"판결일을 아직 정해지지 않았다.
","A sentencing date was not set.
",18,31
"많은 사람들이 이를 위해 15년을 기다렸다.
","Many have waited 15 years for it.
",25,34
"양측의 합의 소식은 17일(현지시간) 발표됐다.
","The deal was announced Tuesday.
",27,32
"화성에 있는 흰색 미립자는 얼음인가, 소금인가?
","LOS ANGELES, California (CNN) Is the white stuff in the Martian soil ice or salt?
",27,82
"이들의 대화 내용은 정확히 전달되지 않았다.
","It was not possible to hear what they were discussing.
",25,55
"동성 혼인 허가는 90일간 유효하다.
","The marriage license is good for 90 days.
",21,42
"캘리포니아주법원은 동성간 결혼을 법적으로 인정했다.
","The California Supreme Court has legalized same-sex marriage.
",29,62
"또 폭우로 127만명의 이재민이 발생했다고 전했다.
","The floods displaced 1.27 million people, according to the news agency.
",29,72
"그는 이번 작전이 18일에 완료될 것이라고 말했다.
","The deployment, he said, would be completed by Wednesday.
",29,58
"지난달, 사우디는 원유 생산량을 30만배럴 증산했다.
","In May, the kingdom increased its production by 300,000.
",30,57
"그는 자신의 프로의식을 인정받아 많은 영예를 얻었다.
","His professionalism earned him many accolades.
",30,47
"수컷 해룡이 임신을 했다.
","ATLANTA, Georgia (CNN) He's pregnant.
",15,38
"이 알들은 4주에서 6주 후에 부화될 것이다.
","The eggs are expected to hatch in four to six weeks.
",26,53
"신문사가 발견된 기밀문서를 받았다.
","The documents were turned in to the London-based newspaper.
",20,60
"양국은 이슬람 무장 단체를 상대로 전쟁을 하고 있다.
","¡± Each is battling a common foe:
",30,34
"또한 부상자 수도 167명에 달한다고 말했다.
","Another 167 were injured, police said Sunday.
",26,46
"죠티(Jyoti)는 빛이라는 뜻의 힌두어다.
","LONDON, England (CNN) Jyoti is the Hindi word for light.
",25,57
"프라나브 메타는 빛이 없이 살고 있다.
","It's something Pranav Mehta has never had to live without.
",22,59
"그러나 그는 운이 좋은 편이다.
","And he is lucky.
",18,17
"그는 ""이미 경기할 준비를 마쳤다""고 덧붙였다.
","""I'm good to go and I plan on playing competitively.
",27,53
"야영지에는 보이스카우트 단원 100명이 있었다.
","There were 100 scouts at the camp, CNN has learned.
",27,52
"2011년 개인 우주여행에는 2좌석이 마련될 것이다.
","Two seats will be available on that trip, part of a deal with the trip.
",30,72
"그러나 우리베는 좌절하지 않겠다고 선언했다.
","But Uribe vowed not to be deterred:
",25,36
"이 재판은 몇 주 후에 재개될 예정이다.
","A new trial is expected to begin in a few weeks.
",23,49
"이곳에서는 또 석실도 발견됐다.
","A burial chamber also was discovered.
",18,38
"인도에서 원숭이는 힌두교의 존경 받는 신이다.
","LUCKNOW, India (CNN) He's a revered Hindu monkey god.
",26,54
"이 대학은 지난해 개교했다.
","The school opened last year.
",16,29
"이 지역은 2001년 탈레반 정권에 의해 파괴 됐다.
","were demolished by the ruling Taliban regime in March 2001.
",30,60
"부시 여사가 아프간을 방문한 것은 이번이 3번째다.
","It is her third trip to the country.
",29,37
"경찰은 이번 사고로 12명이 다쳤다고 전했다.
","Twelve others were wounded, police said.
",26,41
"경찰은 2시간 동안 아파트주민 34명을 대피시켰다.
","Police evacuated 34 residents for two hours.
",29,45
"주민 중 한 여성이 고통을 호소에 병원으로 이송됐다.
","One woman, complaining of sickness, was taken to a hospital.
",30,61
"’라는 글이 게재됐다.
","""Do additives cause childhood hyperactivity?
",13,45
"일부 학부모들은 황당함을 금치 못했다.
","Some parents are aghast.
",22,25
"그러나 지진 후 계속되고 있는 여진이 문제다.
","Continuing aftershocks remain a concern.
",26,41
"우주정거장 화장실은 2주전 고장났다.
","The space station's toilet broke two weeks ago.
",21,48
"화장실은 정상적으로 작동됐다.
","The toilet worked normally.
",17,28
"기술진은 1일 방수로 설치작업을 마쳤다.
","They finished work on the channel Sunday.
",23,42
"실종자는 1만8230명으로 집계됐다.
","About 18,230 people remain missing.
",21,36
"오바마는 3일 민주당 대선후보로 확정됐다.
","I'm very proud to have competed against her,"" Obama told the Israel lobbying group.
",24,84
"시 공무원 1명이 사고 당시 현장 사진을 촬영했다.
","A photograph taken by a city official showed bicyclists and equipment being hurled high into the air by the collision.
",29,119
"피해자 캠포스는 브라운즈빌에 사는 미국시민이다.
","Campos said he is an American citizen living in Brownsville
",27,60
"오바마는 3일에도 슈퍼대의원들의 지지를 받았다.
","Obama picked up a slew of superdelegate endorsements on Tuesday.
",27,65
"추후 에 요금이 적용될 수도 있지만 현재는 무료다.
","Initially, there will be no fee to apply for travel authorization, although one may be imposed later.
",29,102
"유가는 이후 약간 하락했지만 여전히 높은 수준이다.
","They have since fallen slightly but remain at near-record levels.
",29,66
"텍사스주와 뉴 멕시코주에서 적어도 17명이 입원했다.
","At least 17 people in Texas and New Mexico have been hospitalized.
",30,67
"또한 도로에도 1.2m 깊이의 웅덩이가 패였다.
","It also left a 4-foot-deep crater in the road.
",27,47
"2007년 7월에는 미군 78명이 사망했다.
","There were 78 American deaths in July, 2007;
",25,45
"그러나 올 6월의 전망은 그리 밝지 않다.
","The month of June may not bring such optimistic news.
",24,54
"부상자 중 8명은 경찰관으로 알려졌다.
","Eight of the wounded were police officers, the official said.
",22,62
"야외나 집안에 인기척은 없었다.
","Other than that, there was no sign of human life outdoors or in.
",18,65
"돌로 만들어진 주택에는 셔터가 내려져 있었다.
","Several shutters were pulled on the main stone house.
",26,54
"이와 비슷한 형태의 모의 화성 탐사 훈련도 이뤄졌다.
","The simulated expeditions were made, in part, to research ways to live and work on the Red Planet.
",30,99
"바우어는 1980년대 초 피앤지에서 은퇴했다.
","Baur retired from P&G in the early 1980s.
",26,42
"지난 27일 국제유가는 127.35달러에 마감했다.
","On Friday, the contract settled at $127.35 a barrel, up 73 cents.
",29,66
"1. 장난감 만들기
","1. Toy creator
",11,15
"2. 식품 과학자
","2. Food scientist
",10,18
"3. 인형 옷 디자이너
","3. Doll fashion designer
",13,25
"4. 소물리에
","4. Sommelier
",8,13
"5. 운동 트레이너
","5. Athletic trainer
",11,20
"6. 이벤트 기획자
","6. Event planner
",11,17
"경찰은 사망자수가 더 늘어날 것이라고 경고했다.
","police cautioned that the numbers could rise.
",27,46
"빌 클린턴의 인기도 힐러리의 압승에 한 몫 했다.
","Bill Clinton's overwhelming popularity in Puerto Rico also gave the New York senator a boost.
",28,94
"미얀마 군정은 총 사망자를 7만8000으로 추산했다.
","Myanmar's government has put the death toll at 78,000.
",30,55
"이날 처음으로 호주군 병력 일부가 본국으로 귀환했다.
","The combat troops were expected to return to Australia over the next few weeks, with the first of them arriving home Sunday.
",30,125
"절대로 마사지 받지 말아야 하는 환자들도 있다.
","But some things are deal breakers.
",27,35
"그리고 암 환자들은 특히 주의해야 한다.
","And cancer patients should be especially cautious.
",23,51
"임파계가 암의 전이에 중요한 매개체가 된다.
","The lymphatic system is a key vehicle for the spread of cancer.
",25,64
"물길 우회 작업은 약 1주일 걸렸다.
","The project to divert the water took nearly a week.
",21,52
"이번 작업은 다른 난관은 기상 상태였다.
","Another challenge is the weather.
",23,34
"이번 화재 당시 촬영된 동영상 보도도 없었다.
","There were no reports of filming at the time of the fire.
",26,58
"일부 소매점들이 문을 닫고 대학은 시험을 연기했다.
","Some shopkeepers shuttered their stores and universities postponed exams.
",29,74
